Name,Lat,Long
Rancapeundey,-7.3314,108.0665
Izobil’nyy,46.6620498,40.5611144
Jargalant,48.7277622,100.7724281
Студеничани,41.91583,21.53056
Montesson,48.9078269,2.1490664
Liudu,23.07555,112.007814
Staré Křečany,50.9543498,14.4919392
Santa Ana,33.7518692,-117.8590737
Kresna,43.8533322,25.9522679
Santiago de los Caballeros,19.4771559,-70.6636064
Ettal,5.5775857,153.5799639
Casais,39.8754035,-8.5885462
Göteborg,57.6597922,12.0140077
Boto,-7.6155876,110.7167165
Klemunan,-8.1135472,112.3367573
Kristiansand S,58.0618351,7.584995
Xingong,39.0063718,117.6852235
Horodne,51.8911132,31.5958532
Beaufort West,-32.0974476,23.0101345
Zhangping,25.290184,117.419998
Yoichi,35.0082914,138.3669713
Yanjiang,30.108216,104.677091
Dagang,33.189192,120.103473
Skien,59.2254827,9.5589227
Matayumtayum,15.5160946,120.7090355
Zhangshi,37.187796,115.387259
San Vicente,14.7596318,121.0589081
Kaavi,63.0331454,28.4032167
Tangjia,22.34414,113.604417
Yanggan,30.692993,112.573483
Verblyany,50.0478165,23.4271937
Sammatti,60.3198565,23.8212698
Kadubera,-6.4594857,105.9141793
Pa Tio,15.8359591,104.4024704
Xincun,18.412445,109.971328
Paraguarí,-25.6262174,-57.1520642
Cuijiaqiao,28.7163066,112.007869
Sohbatpur,28.4499078,68.4494842
Sovetskiy,55.8215671,44.6852174
Chicago,41.9720786,-87.7517295
Gubeikou,40.692169,117.163821
Gondar,12.6030181,37.4521319
Butubut Norte,16.802718,120.401159
Shilipu,39.91554,116.489848
Ariguaní,9.9298167,-73.9590333
Shanxiahu,29.837883,120.353629
Pereira,42.0753926,-8.3634981
Haitou,24.562945,118.26435
Tagdanua,14.6484972,121.0782757
Gul’cha,40.3132524,73.4445392
Peoria,33.7868136,-112.28609
Nong Phai,16.0045432,101.207047
Pancanagara,-6.1919,106.0877
Paris 15,48.8466523,2.2582125
Lacombe,52.4630512,-113.7286241
San José,14.24512,-87.958061
Tshikapa,-6.4237489,20.7956878
Akhmīm,26.5608911,31.7447913
Monastyrshchina,54.2732308,32.014211
Sumenep,-6.9253999,113.9060624
Aykol,38.173303,77.215838
Tianguá,-3.7300232,-40.9926511
Vysotsk,60.6251856,28.568911
Kaiaf,13.4082642,-15.6082651
Adzopé,6.1071457,-3.8553507
Tama,-29.4075749,-66.8349174
Nizhniy Bestyakh,61.9639779,129.9131287
Stare Juchy,53.9303755,22.192721
Khvalynsk,52.5010192,48.0923303
Jinan-gun,35.7917297,127.4248356
Ani-e,10.61225,123.448209
Eixo,40.6300635,-8.581189
Jiangkou,27.69965,108.839557
Kristianstad,56.0396207,14.1636617
Huzhen,28.80901,120.26121
Yakimovo,43.6347968,23.3663219
Lanús,-34.6672811,-58.6162188
Lama,41.4619291,-8.0178037
Charagua,-19.7809492,-63.1973233
Escuintla,14.2724013,-90.7746443
Agago,2.925082,33.3486147
Tha Luang,15.0663747,101.1228553
Bestala,-8.2451851,114.9724513
Smederevo,44.6658941,20.9335169
Železná Ruda,49.1449758,13.2297698
‘Abs,16.0001462,43.1892443
Gafargaon,24.4571847,90.5486962
Zaoshi,26.6674,113.449709
Suohe,34.7871544,113.4242071
Huaicheng,40.882377,122.685217
Tomsk,56.484419,84.950397
Soko,-7.0961965,111.9403254
Calceta,-0.8406658,-80.1596041
Frutal,-20.019494,-48.9383824
Vukovar,45.3876043,18.8966831
Auray,47.666899,-3.022273
Hŭngju-dong,40.99629,126.54756
Tamamura,36.3046238,139.1386824
Shuiyuesi,38.3179046,116.8578425
Bejuco,8.606157,-79.8884819
Cerro Corá,-31.43337,-64.2142976
Bystrytsya,48.4703688,24.2784263
Qingdao,36.067108,120.382609
Ngaoundéré,7.3381488,13.5668302
Helmsange,49.6633939,6.1317337
Tanxi,29.696108,118.315329
Yukuhashi,33.7150937,130.9966131
Infonavit,19.307033,-99.1675842
Huanan,46.239185,130.553343
Aleg,17.0516148,-13.9114989
Telouet,31.2888328,-7.2396659
Hod HaSharon,32.149961,34.8838788
Osieczany,49.8401383,20.0045112
Ciudad Bolivia,8.3537158,-70.5770632
Vårby,59.2527176,17.8864717
Uddevalla,58.3619916,11.9203062
Baishui,35.177451,109.590671
Harper,4.3759676,-7.7009416
Masaran,-7.4703872,110.9387418
Galatás,37.4968471,23.447887
Haolin,31.859653,120.558606
Xiqiao,22.938069,112.987173
Esmeraldas,0.9681789,-79.6517202
Ādam,22.386514,57.5249708
Huangdao,35.872664,120.04619
Afaahiti,-17.72332,-149.3081197
Tessaoua,13.7558622,7.986535
Péfki,38.0625172,23.7946578
Buri,-23.7981763,-48.5962748
Celeirós,41.2426773,-7.5586322
Bacong,9.258006,123.281809
Paradahan,14.3246136,120.8590469
Piet Retief,-25.7782129,28.142569
Fomento,22.0983236,-79.7231612
Vecpiebalga,57.061272,25.817596
Nordeste,37.8322686,-25.145931
Tuoshi,30.727011,112.839027
Mstów,50.8294542,19.2859852
København,55.675114,12.568064
Moca,18.9331158,-70.4059336
Babana,10.436633,3.8171953
Pervomayskoye,53.340959,83.777896
Nantes,47.2550409,-1.5401497
Gagnoa,6.1514423,-5.9515399
Zhutuo,29.012339,105.851885
Rio Negro,-26.095133,-49.7743404
Monte Patria,-30.6978944,-70.9586889
Göteborg,57.7328579,12.0745352
Comapa,14.113818,-89.917591
Tsirang,27.032207,90.1869644
Lyasny,54.0045473,27.6885079
Dahuaishu,39.925359,116.410316
Pendolo,-2.0865267,120.6832556
Chicago,41.88,-87.63
Amqui,48.465994,-67.4324153
Piracanjuba,-17.3697902,-48.9605972
Longsha,47.317308,123.9575311
Ryazhsk,53.7217952,40.0305734
Ikot-Ekpene,5.1744472,7.7145152
Paarl,-33.8880642,18.9591376
Tacoma,47.2457073,-122.4773432
Tozkhurmato,34.8809639,44.6207633
Hejiadong,25.5497,111.689821
Muzambinho,-21.35188,-46.4970116
Oncativo,-34.4922897,-58.6799941
Bojawa,-8.8341,120.9593
Três de Maio,-27.780531,-54.2362302
Pirallahı,40.4746848,50.3334447
Dayin,29.933855,121.370441
Ruixi,27.758574,117.062372
Birqīn,32.45461,35.26076
Ngroto,-7.1240121,111.6049608
Narimanov,46.3176956,48.0025271
Brak,-7.3582578,109.540241
Malway,14.4776308,121.0328004
Resistencia,-27.451456,-59.029959
Angered,57.779138,12.0602512
Fuyu,44.988449,126.049702
San Felipe,-32.75,-70.7208115
Iwŏn-ŭp,40.32306,128.65528
Dhangarhi,28.685244,80.621591
Tambopata,-12.5825295,-69.1932762
Feričanci,45.5380557,17.9794368
Sambong,-6.9122509,109.7457739
Shabel’skoye,46.8538849,38.4738904
Chimen,26.05547,119.239406
Malaga,36.7203407,-4.419495
Sansheng,23.561556,101.273161
Capalonga,14.273035,122.564262
Lille,44.1675867,2.0308233
Rudka,52.7301035,22.6886729
Simimbaan,17.1179264,121.583097
Messina,38.1788095,15.4976181
San Juan,14.565668,121.0317737
Alavus,62.7107035,23.5410417
Puning,23.297493,116.165777
Kalpáki,39.886025,20.6256658
Martinlongo,37.4367461,-7.7770783
Oesain,-6.904068,107.6047939
Saint Louis,38.63,-90.2099999
Canguçu,-31.3964785,-52.6787852
Hikari,33.2391279,130.2750995
Sangkulirang,1.0357171,118.0654445
Shuihu,32.477849,117.16587
Lupo,14.86876,120.8294888
Dzhubga,44.3264928,38.7015857
Kalidawir,-8.1950813,111.9403254
Santa Gertrudes,-22.4593525,-47.5369982
Majāz al Bāb,36.6484118,9.6146499
San Basilio,14.5550437,121.1248905
Longwy,49.5048872,5.6944757
Sumisip,6.4361438,122.0324423
Minneapolis,44.903044,-93.2332244
Petrolina,-9.3988444,-40.4996855
Mungyeong,36.586148,128.1867972
Baimaqiao,26.0536124,119.2989496
Cullinan,-25.6684553,28.5158257
Pelaya,8.688031,-73.666377
20 de Noviembre,19.4449916,-99.1082647
Solidaridad,20.6523028,-87.0696273
Novomoskovs’k,48.6329614,35.2241571
Itō,34.9528346,139.0943433
Mizur,42.8509219,44.0546008
Kalenderovci Donji,44.9469715,17.8367375
Tenja,45.4835641,18.7768698
Filiátes,39.6003316,20.3077691
Kabir,-8.2481387,124.2227061
Parobé,-29.6247579,-50.8316868
Church End,52.216745,0.1405602
Serra Negra,-22.6148577,-46.7057601
Cruz Alta,-28.6454883,-53.605355
Arauco,-31.4180746,-64.2653484
Xihongmen,39.7898,116.328689
Lishu,43.30706,124.33539
eSikhawini,-28.8676839,31.9160211
Đắk Mil,12.5049537,107.6925674
Maguilling,17.791111,121.4761124
Lian,47.1892329,8.7108197
København,44.351935,-87.8445954
Niuzhuang,31.04565,121.409039
Mashtūl as Sūq,30.3608801,31.3793398
‘Alāqahdārī Gēlān,32.72692,67.63696
Zliv,50.3616019,15.230454
Kalangala,-0.3208374,32.2937428
Engenheiro Beltrão,-23.8380515,-52.3063947
‘Ābūd,32.016539,35.068807
Pulap,7.6447222,149.4208333
Wenping,22.279062,114.174463
Besukrejo,-7.6077557,112.243026
Pushkino,52.1940358,104.246923
San Cristóbal Totonicapán,14.914778,-91.444669
Bundibugyo,0.707531,30.0636349
Sangumata,-9.4033,119.5606
Hisings Kärra,57.8001246,11.9841764
Jatisari,-6.3385652,106.9447146
Södertälje,59.1956358,17.5208614
Trąbki,49.9787123,19.893249
Damnoen Saduak,13.5167584,99.9541293
Cihaur,-7.1221059,106.5701927
Mayo Belwa,9.0528821,12.0575469
Khairpur Nathan Shāh,27.0874729,67.7344167
General Alvear,-34.8411832,-58.4389753
Cuchumbaya,-17.0759571,-70.8432115
Krajan Siki,-8.1831,111.5359
Dhahab,28.5091355,34.5136344
Columbus,40.1420033,-82.9770371
Proboštov,50.6250765,14.1554021
Gambēla,8.2471899,34.5915966
Bijie,27.283955,105.291643
Russkaya Polyana,53.778695,73.8784471
Abidjan,5.3599517,-4.0082563
Vacenovice,49.12249,15.8681689
Czarna,50.0672776,21.2406149
Viñac,-12.930823,-75.7803892
Elbasan,41.11023,20.0866554
Nyurba,63.2803099,118.3618985
Aveiro,40.6394384,-8.6380475
Qingxi,22.843818,114.164223
Krajan Karangwage,-6.3556666,107.7610977
Joyabaj,14.9941724,-90.8072101
Köln,50.9210958,6.8968829
Les Cèdres,45.3095043,-74.0590779
Ujar,40.5067525,47.6489641
Esperanza,18.4770791,-69.9732934
Costa Nova do Prado,40.617471,-8.753421
Qinglong,40.407578,118.949684
Cadiz,36.5292176,-6.2940354
Sainte-Luce-sur-Loire,47.2747492,-1.4666288
Pringu,-8.098655,112.6824377
Dowlatyār,34.55132,65.79302
Dainan,32.724185,120.133762
Kuala Terengganu,5.329576,103.1369108
Aktau,43.6410973,51.1985113
Sobreira,41.343685,-7.3436907
Qadsīyā,33.54832,36.21564
Postřelmov,49.9106966,16.9101736
Malanay,16.0080573,120.4068073
Tirmiz,37.2610694,67.3086236
Hacıqabul,40.039377,48.9202533
Ulme,39.3297421,-8.3745717
Emiliano Zapata,17.7409147,-91.7660525
Yafran,32.053558,12.5355393
Thị Trấn Mường Khến,20.6213895,105.2775923
Hagonoy,14.7464846,121.0764017
Starobelokurikha,52.05206,85.08765
Xi’an,34.341574,108.93977
Shanhou,23.354091,116.681972
Qianjiang,30.402167,112.899762
Heishui,32.061895,102.990108
Sirindhorn,13.7850134,100.4959857
Yangfeng,26.888665,112.616612
Taozhou,28.65638,121.42076
Colón,9.359302,-79.8998608
Parys,-26.8985232,27.4732571
Bennäs,63.6182729,22.7568858
Corpus,13.2881184,-87.0336925
Idah,7.1138119,6.7440467
Linköping,57.9936068,16.3041503
Changzheng,31.23285,121.467218
Sadabumi,-7.2065356,108.7541564
Ban Lam Luk Ka,13.9483457,100.791665
Rakvere,59.3465821,26.365315
Rzhev,56.2621893,34.3028279
San Diego,14.1858094,121.510481
La Laguna,19.6402143,-99.0654022
Seattle,47.6060781,-122.3329957
Qal‘ah-ye Shahr,35.54729,65.5676
Nowa Góra,50.8747818,15.7484458
Markaz-e Woluswalī-ye Āchīn,34.12583,70.70778
Hekou,22.529403,103.93935
Naili,14.55647,121.018975
Örnsköldsvik,63.2945202,18.6699799
Shang Boingor,32.881263,99.586963
Haparanda,65.8368628,24.0986491
Anjō,30.6509359,131.0436289
Popasna,48.6282422,38.3727153
Mayo Belwa,9.0528821,12.0575469
Fuji,37.5568153,139.747389
Concepción,-11.9187621,-75.3149796
Puan,35.1795543,129.0756416
Maricá,-22.9192526,-42.8163587
Ob’,55.0214573,82.6615789
Lamovita,44.9286321,16.9119159
Sémbé,1.6480399,14.5742675
Haoxin,23.1451405,113.2558405
Jeziora Wielkie,52.5295871,18.2672515
Sumberkindagan,-7.0621,113.6886
Las Flores,19.4198119,-99.0225628
Bangkal,-2.609012,112.403397
Lom Kao,16.8877073,101.2273373
Laguna,-28.4748354,-48.7837539
Shayu,30.240579,106.370479
Candon,17.1939768,120.4485002
Tangalla,6.009544,80.780153
Jiuzhou,22.2361111,113.5833333
Luoqiao,31.13856,113.744367
Ciechanowiec,52.6782617,22.4981661
Bogotá,4.5604389,-74.115187
Jieting,29.641685,120.273991
Longhua,22.656408,114.019351
Sérvia,40.1858788,22.002802
Labuhankananga,-8.1401564,117.7901088
Rucheng Chengguanzhen,25.549887,113.68437
Plottier,-38.956431,-68.23127
Galutu,38.766979,108.689367
Mỏ Cày,10.1310658,106.3311197
Kouloúra,40.5454837,22.3173143
Ar Rawḑah,33.5210036,36.2861306
Sudikampir,-7.4574955,108.8408547
Gbadolite,4.2891931,21.0102737
Manas,42.7249013,47.6811837
Xinlong,30.939169,100.311368
Craigavon,54.4429264,-6.4175653
Nova Praha,48.5582238,32.9001451
Nizhniy Tagil,57.9093249,60.166299
Victoria,36.04337,14.240092
Little Current,45.97927,-81.9248
Ténenkou,14.4590296,-4.9169196
Beloye,45.0454855,39.6498995
Llorente,11.406883,125.550288
Nashville,36.1030036,-86.8722146
Alibago,17.1013958,121.8608082
San Juan,-12.1538726,-76.9717368
Toungo,8.1204866,12.040412
Avanca,40.8024339,-8.5959634
Kihurio,-4.4654444,38.0750461
Phoenix,33.45,-111.97
Åmål,58.3244259,12.278769
Tahe,52.334456,124.709996
Mankono,8.0599142,-6.1898262
Wangyi Zhendian,31.325748,113.393516
Vitrolles,43.7786945,3.7264439
Weixin,27.8469,105.049027
Sete Cidades,37.8589492,-25.7944989
Caper,-6.2917388,106.8002861
Kokkinóchoma,40.9282833,24.3057691
Kosan,38.8559689,127.4214244
Chikeng,42.25785,118.886931
Muskegon,43.1790617,-86.1853474
Olonets,60.9801837,32.9723968
Phitsanulok,16.8211238,100.2658516
Meghrashen,40.6690083,43.9553461
Matias Olímpio,-3.6988282,-42.5901672
Suḩayl Shibām,15.91448,48.63864
Novotroitsk,54.3843215,44.8151638
Dungloe,53.3734053,-6.3695384
Useldange,49.7724099,5.981844
Ystad,55.583006,13.0105903
Baitang,23.394916,114.36847
Častolovice,50.1304906,16.1867635
Dapchi,12.4959322,11.5006548
Altay,47.827308,88.131842
Zhuangbu,25.69498,115.601076
Argelia,4.727773,-76.121514
Pawili,13.5260215,123.2925505
La Roxas,14.6103278,121.0080574
Gununganyartambak Tengah,-7.3485439,112.7699403
Cikawung,-6.6047761,108.024301
Montélimar,44.5590244,4.7447501
Ōta,36.2569423,139.381182
Runaway Bay,18.4562829,-77.3266991
Toluviejo,9.452849,-75.4391349
Tosno,59.5403823,30.8896701
Notre-Dame-de-l'Île-Perrot,45.4235609,-73.9319061
El Fahs,36.3778012,9.9101915
Hefu,31.820591,117.227219
Mlaka pri Kranju,46.2840425,14.349659
New Orleans,29.9640473,-90.1999318
Gongji,32.728228,116.943665
San Jose,18.8962696,-96.9417785
Strawczyn,50.9524702,20.4081061
Haiyang,36.776378,121.158434
Dū Qal‘ah,32.14237,61.4469
Ushuaia,-54.8079502,-68.3214955
Pomerode,-26.7376205,-49.1743626
Hrabyně,49.8853772,18.0624625
Évosmos,40.6661376,22.9037753
Xinyang,32.147679,114.091192
Skoútari,41.0184587,23.5206341
Las Palmas,22.9410456,-109.94522
Brušperk,49.7055805,18.2243639
Delong,30.629423,103.963147
Riosucio,5.4238154,-75.8185314
Erími,34.6919356,32.9184086
Duobagou,39.974179,116.293727
Nouakchott,18.0735299,-15.9582372
Yueyang,29.356803,113.12873
Ishkhoy-Yurt,43.2150141,46.3893765
Krzanowice,50.0281297,18.1278226
Shifang,31.12678,104.167501
Perm,57.9887927,56.1415665
Timbaúba,-7.5085719,-35.3126181
Namie,37.479652,140.9588844
Velké Losiny,50.03197,17.0405873
Toubao,40.256729,115.474295
Tanahgrogot,-1.8703308,116.3013267
Koźmin Wielkopolski,51.82709,17.4539199
Leribe,-28.9510773,28.2526623
Växjö,56.8790044,14.8058523
Taoling,30.208404,116.681928
Ush-Tyube,45.2415442,77.9726477
Hamar,58.478361,6.8567623
Ijūin,31.6374692,130.4019412
Ngetkib,7.36451,134.51484
Ellinikó,37.8889396,23.7435107
Barroso,-21.1880429,-43.9759925
Perelyub,51.8614971,50.3456762
Jindou,35.904442,115.110483
Bebandem,-8.3960371,115.5325797
Khorosheve,49.854824,36.2090012
Smederevo,44.6658941,20.9335169
Bethanie,-26.5090889,17.1514061
Dadian,36.867795,120.9057
Palpalá,-31.4561755,-64.2111608
Khu Khan,15.1089475,104.329829
Perico,22.7686569,-81.0174917
Ayagoz,47.9755808,80.432736
Da’an,45.506995,124.292626
Yuyao,30.037192,121.154634
Pedreira,37.828804,-25.146173
Gorna Oryakhovitsa,41.9250632,25.5508839
Wschowa,51.8071084,16.3164767
Arrah,6.6746161,-3.9725378
Ruihong,43.9071313,125.3462629
Waingapu,-9.7386858,120.182022
Paris 12,43.4945737,5.8978018
Pyapon,16.2850333,95.6799816
Nice,43.66004,7.214993
Garland,32.9629396,-96.6691579
Gąbin,52.3974171,19.735653
Mölndal,57.6653832,12.0310091
Goiás,-15.8272432,-50.265662
Valence,44.9280296,4.8932938
El Bolsón,-41.9430504,-71.5298386
Lilongwe,-13.9626121,33.7741195
Aquidauana,-20.4670046,-55.7872944
Arísvi,39.2303755,26.2174959
Batukuta,-8.602068,116.195655
Al Badārī,26.9915774,31.4155591
Nizhniye Vyazovyye,55.8697739,48.5236711
Loznitsa,43.3497076,26.626104
Antipino,58.9918209,55.1890813
Hushaat,49.5,105.61667
Apucarana,-23.5586314,-51.4650904
Klonowa,51.4393178,18.3993464
Neuzina,45.3095119,20.7261064
Všestary,50.2553167,15.7601242
Borås,57.7117601,12.9075947
Ciénaga,10.8698035,-73.9830029
Banqiao,31.922974,118.663681
Malec,52.6386769,22.563616
Giemdiem,20.55832,106.56882
Sengkerang Tiga,-8.7688975,116.3957965
Pelabuhan Dagang,-1.133947,103.0702646
Dayou,26.141854,116.188408
San Antonio,35.1595989,-106.566764
Gayamdesa,-7.1929741,111.7197315
Kos,36.8915064,27.2877228
Cambebba,-23.1427013,-44.1663455
Salto,-23.207633,-47.2997218
Biny Selo,40.4531669,50.089775
Talu,0.2118181,100.0024084
Artur Nogueira,-22.573223,-47.1731269
Ninove,50.8441986,3.9438609
Luhyny,51.0836752,28.4004787
Krajan Jamprong,-6.9604,111.6157
Xiaomian,39.937881,116.4080926
Mospyne,47.8748302,38.0671601
Fuying,40.72997,-73.860733
Georgetown,13.28386,-61.1213871
Yangjiapo,21.857958,111.982232
Gudauta,43.1023643,40.618282
Zyukayka,58.2084997,54.707343
Enschede,52.2051033,6.9450818
Compiègne,49.395599,2.789137
Yidu,30.378326,111.450006
Sayama,34.0313411,131.3494901
Georgiyevsk,44.1497667,43.4577689
Bielice,53.2001742,14.7571949
Maloyaroslavets,55.0007073,36.4284209
Agadez,16.9741689,7.986535
Sabnie,52.5005848,22.3071086
Wojsławice,50.9190109,23.5462738
Támara,14.1899344,-87.3314264
Gaojiazhuang,36.309203,113.110378
Sena Madureira,-9.6096717,-69.2877535
Ouricuri,-7.8808775,-40.0810267
Ōzu,32.8872867,130.8841776
Madona,56.854995,26.2255149
Sungai Nyamuk,4.1175121,117.8663075
Bugana,7.99917,7.58361
Dalan,38.914003,121.614682
Nanmu,47.801401,121.293284
Chernyakhovsk,54.6437754,21.780179
Chervonoarmiys’k,50.4254568,30.5176371
Kedungtaman,-6.3030571,106.8912492
Kegeyli Shahar,42.7751413,59.6122792
Meiktila,20.8765931,95.8601611
Sidaraja,-6.9854642,108.5730321
Vendychany,48.6184003,27.8023025
Santarém,-6.4835644,-38.4795129
Jacarezinho,-23.1734868,-49.9783088
Iwakura,37.9058553,139.8418907
Thaton,16.9270749,97.3678624
Arthur’s Town,24.6233771,-75.6702647
Huitong,26.887238,109.735661
Dazu,29.7444645,105.7948814
Kamogatachō-kamogata,34.5414989,133.5894821
Krajan Satu,-7.3743397,110.2648159
Sanxi,37.2425649,111.8568586
Vân Đình,20.7337728,105.7704551
Monte Patria,-30.6978944,-70.9586889
Komsomol’sk,57.0306605,40.3779445
Kisumu,-0.0917016,34.7679568
Sémbé,1.6480399,14.5742675
Sainte-Sophie,45.8206187,-73.9300943
Sarapul,56.5646213,53.8155143
Azul,-34.7796334,-58.6040349
Ar Rifā‘,26.1226062,50.534262
Massy,48.732568,2.2889821
Havana,23.1135925,-82.3665956
Nikulino,55.4203835,38.3673637
Bilbays,30.4158383,31.5621184
Noenoni,-9.7540414,124.3643423
Alagoinhas,-12.1339194,-38.4211655
Fujioka,38.7683879,139.9177739
General Lavalle,-34.5595896,-58.6022596
Nay Pyi Taw,19.7633057,96.0785104
Yanjiang,30.108216,104.677091
Xinqiao,31.058765,121.315718
Bijelo Polje,43.0369422,19.7561911
Gongrong,23.3790333,113.7632828
Boca Raton,26.411026,-80.0926014
Paris 05,43.4945737,5.8978018
Fier,40.727504,19.5627596
Ripky,51.8051758,31.0940874
Le Blanc-Mesnil,48.9323908,2.4774664
Sojo,-12.1140973,-77.0445279
Nidek,51.748067,18.492437
Ganpu,30.397162,120.855089
Ljusdal,60.5381467,15.427113
Huangtudian,40.062717,116.347038
Dijon,45.2977605,2.5135985
Komenda,46.2052815,14.5391653
Guadalupe,25.6765837,-100.2602364
Jia’an,36.696955,116.911044
Shuangshi,31.50199,115.75596
Khurriānwāla,31.5233543,73.2571865
Saint David’s,12.0375095,-61.6676857
Quimper,47.9894676,-4.1116493
Hisor,38.5305761,68.5545252
Estoril,38.7107263,-9.3975414
Yongding,24.723961,116.732091
Beringinjaya,-2.7195658,120.2628111
Lesogorsk,56.0446874,99.5285704
Érd,47.4115468,18.880086
Darma,-7.0053726,108.3979331
Hesperange,49.5718261,6.1593027
Simod,16.0120719,120.3093044
Nangang,45.75997,126.668787
Sailaitang,32.934565,100.737037
Aylmer,42.7729381,-80.9828842
Smętowo Graniczne,53.7431909,18.6894607
Daminggong,34.31028,108.975658
Sutton,53.3895926,-6.1097188
Logroño,42.4576548,-2.4407498
Sherwood Park,53.5412083,-113.2957365
Chigasaki,35.3372599,139.4046734
Port Nolloth,-28.8241753,17.256296
Kedung,-6.6605307,110.6757556
Songlong,39.1971979,-84.4578361
Isojoki,62.3078106,22.0530364
Thị Trấn Tà Lùng,22.4919891,106.5760857
Huangtang,31.644606,119.781147
Madruga,22.9062278,-81.8716058
Florianópolis,-27.5948698,-48.5482195
Moate,53.3604483,-6.1942058
Jahrom,28.5177435,53.5743866
Castelsarrasin,44.0643415,1.1011089
Siguinon,10.9423,124.6806
Baorixile,49.348096,119.7942301
Jieshou,33.258244,115.374821
Bouctouche,46.4722761,-64.7242645
Luci,26.853097,109.386371
Rogoza,46.4979131,15.6702113
Bubanza,-3.1572403,29.3714909
Lamalera,-8.5697306,123.3991028
Zhendu,28.201266,114.606141
Kruševac,43.5757545,21.331051
Itacorubi,-27.5918875,-48.4939886
Kavála,40.937607,24.412866
Abomey-Calavi,6.4503024,2.3468195
La Cruz,-34.3998126,-58.6057651
Monrovia,6.2907432,-10.7605239
Ouango,4.3139754,22.5498389
Jianjiang,24.781681,118.552365
Zhukovo,55.0319476,36.7358019
Sabangan,17.0056829,120.9221678
Modosinal,-10.7937961,122.9691183
Pu’an,25.784135,104.953062
Werasari,-7.0453363,108.2347863
Vadstena,58.4405927,14.8914165
Doumen,22.2092,113.296467
Guxian,36.266914,111.920465
Gangdong,29.39441,113.016085
